"Name in English","Countries","Degree of endangerment"
"Sanyi","China","Severely endangered"
"Temuan","Malaysia","Severely endangered"
"Tingal","Sudan","Definitely endangered"
"Wampis","Peru","Vulnerable"
"Wunai Bunu","China","Definitely endangered"
"Yanesha","Peru","Severely endangered"
"Mam (Mexico)","Mexico","Severely endangered"
"Pana","Burkina Faso","Definitely endangered"
"Macushi (Guyana)","Guyana","Vulnerable"
"Chukchi","Russian Federation","Severely endangered"
"Cabécar","Costa Rica","Vulnerable"
"Awa Cuaiquer","Colombia","Critically endangered"
"Lishana Deni (Israel)","Israel","Severely endangered"
"Central Pame","Mexico","Vulnerable"
"Puinave","Colombia, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Mebengokre","Brazil","Vulnerable"
"Tunebo","Colombia, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Quechua of Peruvian Amazonia","Peru","Vulnerable"
"Asur","India","Definitely endangered"
"Bashkardi","Iran (Islamic Republic of)","Definitely endangered"
"Burji","Kenya","Vulnerable"
"Choyi","China","Definitely endangered"
"Gazi","Iran (Islamic Republic of)","Definitely endangered"
"Guichong","China","Vulnerable"
"Karagash","Russian Federation","Definitely endangered"
"Natanzi","Iran (Islamic Republic of)","Severely endangered"
"Nayini","Iran (Islamic Republic of)","Severely endangered"
"Parya","Uzbekistan, Tajikistan, Afghanistan","Severely endangered"
"Segeju","United Republic of Tanzania","Severely endangered"
"Sivandi","Iran (Islamic Republic of)","Definitely endangered"
"Soi","Iran (Islamic Republic of)","Definitely endangered"
"Tucano (Brazil)","Brazil","Vulnerable"
"Wapishana (Guyana)","Guyana","Vulnerable"
"Yulu","Central African Republic, Democratic Republic of the Congo, Sudan","Vulnerable"
"Zhaba","China","Vulnerable"
"Sakapultek","Guatemala","Definitely endangered"
"Chara","Ethiopia","Vulnerable"
"Kosraean","Micronesia (Federated States of), Nauru","Severely endangered"
"Waunana (Panama)","Panama","Severely endangered"
"San Francisco del Mar Huave","Mexico","Critically endangered"
"Northern East Cree","Canada","Vulnerable"
"Micmac (Canada)","Canada","Vulnerable"
"Northern Tepehuán","Mexico","Definitely endangered"
"Miju","China, India","Vulnerable"
"Rio Grande Keresan","United States of America","Definitely endangered"
"Western Mazatec","Mexico","Vulnerable"
"Bussa","Ethiopia","Vulnerable"
"Beli","Sudan","Definitely endangered"
"Chesu","China","Definitely endangered"
"Thuri","Sudan","Vulnerable"
"Karata","Russian Federation","Definitely endangered"
"Saulteau","Canada","Vulnerable"
"Kumāle","Nepal","Severely endangered"
"Lower Northwestern Otomí","Mexico","Vulnerable"
"Dimme","Ethiopia","Vulnerable"
"Chiquitano (Bolivia)","Bolivia (Plurinational State of)","Definitely endangered"
"Tumtum","Sudan","Severely endangered"
"Bezhta","Russian Federation","Definitely endangered"
"Thakali","Nepal","Vulnerable"
"Dongotono","Sudan","Vulnerable"
"Mawé","Brazil","Vulnerable"
"Shor","Russian Federation","Severely endangered"
"Central Tlapanec","Mexico","Vulnerable"
"Oji-Cree","Canada","Vulnerable"
"Keiga","Sudan","Severely endangered"
"Ampibabo Lauje","Indonesia","Vulnerable"
"Cashinahua (Brazil)","Brazil","Vulnerable"
"Geji cluster","Nigeria","Severely endangered"
"Mbya Guarani (Brazil)","Brazil","Vulnerable"
"Moklen","Myanmar, Thailand","Definitely endangered"
"Nauruan","Nauru","Severely endangered"
"Nheengatu / Yeral (Brazil)","Brazil","Severely endangered"
"Parachi","Afghanistan","Definitely endangered"
"Quechua of San Martín","Peru","Severely endangered"
"Sawkna","Libyan Arab Jamahiriya","Critically endangered"
"Sulung","China, India","Definitely endangered"
"Tindi","Russian Federation","Definitely endangered"
"Western Apache","United States of America","Definitely endangered"
"Yanomami (Brazil)","Brazil","Vulnerable"
"Yazgulami","Tajikistan","Severely endangered"
"Chantyal","Nepal","Definitely endangered"
"Mortlockese","Micronesia (Federated States of)","Definitely endangered"
"Baníwa do Içana","Brazil, Colombia, Venezuela (Bolivarian Republic of)","Vulnerable"
"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Akhvakh","Russian Federation","Definitely endangered"
"Veps","Russian Federation","Severely endangered"
"Qikiqtaaluk nigiani","Canada","Vulnerable"
"Sipakapense","Guatemala","Definitely endangered"
"Bribri (Costa Rica)","Costa Rica","Vulnerable"
"Bainouk-Gunyaamolo","Senegal","Vulnerable"
"Kwatay","Senegal","Severely endangered"
"Baheng (Viet Nam)","Viet Nam","Vulnerable"
"Central Zoque","Mexico","Definitely endangered"
"Dameli","Pakistan","Severely endangered"
"Sak (Bangladesh)","Bangladesh","Severely endangered"
"Yidgha","Pakistan","Definitely endangered"
"Southeastern Tarahumara","Mexico","Vulnerable"
"Chimané","Bolivia (Plurinational State of)","Vulnerable"
"Dilling","Sudan","Definitely endangered"
"San Dionisio del Mar Huave","Mexico","Definitely endangered"
"Lafofa","Sudan","Severely endangered"
"Akeu","Lao People's Democratic Republic, Myanmar, Thailand","Definitely endangered"
"Anung (China)","China","Critically endangered"
"Bagvalal","Russian Federation","Definitely endangered"
"Bambassi","Ethiopia","Definitely endangered"
"Barí","Colombia","Vulnerable"
"Bartangi","Tajikistan","Severely endangered"
"Bokar","China, India","Vulnerable"
"Brokpa","Bhutan","Definitely endangered"
"Creek","United States of America","Definitely endangered"
"Cubeo (Colombia)","Colombia","Vulnerable"
"Dagur (Hailar)","China","Definitely endangered"
"Damal","Indonesia","Vulnerable"
"Dhaiso","United Republic of Tanzania","Definitely endangered"
"Gorum","India","Definitely endangered"
"Guarayu","Bolivia (Plurinational State of)","Definitely endangered"
"Gutnish","Sweden","Definitely endangered"
"Hopi","United States of America","Vulnerable"
"Ilue","Nigeria","Critically endangered"
"Jibbali","Oman","Severely endangered"
"Kalasha","Pakistan","Severely endangered"
"Kami","United Republic of Tanzania","Severely endangered"
"Kathu","China","Definitely endangered"
"Khojki","Oman","Severely endangered"
"Khwe","Namibia","Definitely endangered"
"Kom","India","Definitely endangered"
"Korandje","Algeria","Severely endangered"
"Lachi","Viet Nam","Definitely endangered"
"Mak","China","Definitely endangered"
"Manihiki","Cook Islands","Definitely endangered"
"Megleno-Romanian","Greece, The former Yugoslav Republic of Macedonia","Severely endangered"
"Miji","India","Definitely endangered"
"Mo'ang (China)","China","Definitely endangered"
"Mo'ang (Viet Nam)","Viet Nam","Definitely endangered"
"Molise Croatian","Italy","Severely endangered"
"Moroccan Judeo-Arabic (Morocco)","Morocco","Severely endangered"
"Namuyi","China","Vulnerable"
"Padoe","Indonesia","Vulnerable"
"Patamona (Guyana)","Guyana","Vulnerable"
"Pu","India","Critically endangered"
"Pume","Venezuela (Bolivarian Republic of)","Definitely endangered"
"Singpho","India","Definitely endangered"
"Turi","India","Definitely endangered"
"Udi (Azerbaijan)","Azerbaijan","Severely endangered"
"Yecuana (Venezuela)","Venezuela (Bolivarian Republic of)","Vulnerable"
"Jirel","Nepal","Definitely endangered"
"Dolgan","Russian Federation","Definitely endangered"
"Romani (Colombia)","Colombia","Vulnerable"
"Tsum","Nepal","Definitely endangered"
"Northern Tlapanec","Mexico","Vulnerable"
"Taroko","China","Vulnerable"
"Kivallirmiutut","Canada","Vulnerable"
"Puebla Mazatec","Mexico","Vulnerable"
"Zapotec of Petapa","Mexico","Definitely endangered"
"Dungmali","Nepal","Definitely endangered"
"Saryg Yugur","China","Severely endangered"
"Qikiqtaaluk uannangani","Canada","Vulnerable"
"Afitti","Sudan","Severely endangered"
"Nomatsiguenga","Peru","Severely endangered"
"Piapoko","Colombia, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Tokelauan","Tokelau","Severely endangered"
"Wotu","Indonesia","Vulnerable"
"Wambule","Nepal","Vulnerable"
"Southern East Cree","Canada","Vulnerable"
"Arbore","Ethiopia","Definitely endangered"
"Ebang","Sudan","Severely endangered"
"Tafi","Ghana","Vulnerable"
"Puma","Nepal","Severely endangered"
"Gyele","Cameroon, Equatorial Guinea","Definitely endangered"
"Bwisi","Congo, Gabon","Definitely endangered"
"Eastern Montagnais","Canada","Vulnerable"
"Atikamekw","Canada","Vulnerable"
"Western Zoque","Mexico","Vulnerable"
"Acoma-Laguna","United States of America","Definitely endangered"
"Aka","India, Sudan","Definitely endangered"
"Baga Manduri","Guinea","Definitely endangered"
"Baga Sitemu","Guinea","Severely endangered"
"Botlikh","Russian Federation","Definitely endangered"
"Bunan","India","Definitely endangered"
"Cashinahua (Peru)","Peru","Definitely endangered"
"Cha'palaa","Ecuador","Definitely endangered"
"Evenki (Manchuria)","China","Severely endangered"
"Gazhuo","China","Definitely endangered"
"Godoberi","Russian Federation","Definitely endangered"
"Kari'ña (Guyana, Suriname)","Guyana, Suriname","Severely endangered"
"Lishan Didan (Israel)","Israel","Severely endangered"
"Maleng","Lao People's Democratic Republic","Definitely endangered"
"Napu","Indonesia","Vulnerable"
"Rahambuu","Indonesia","Vulnerable"
"Shingsaba","China, Nepal","Vulnerable"
"Sinkiang Dagur","China","Definitely endangered"
"Taa","Botswana","Definitely endangered"
"Tennet","Sudan","Vulnerable"
"Wapishana (Brazil)","Brazil","Definitely endangered"
"Yagua","Peru","Definitely endangered"
"Yanomám","Brazil","Vulnerable"
"Yanomami (Venezuela)","Venezuela (Bolivarian Republic of)","Vulnerable"
"Younuo Bunu","China","Definitely endangered"
"Zenaga (Mauritania)","Mauritania","Severely endangered"
"Baghati","India","Critically endangered"
"Bharmauri","India","Definitely endangered"
"Uspantek","Guatemala","Vulnerable"
"Khang Quang Lam","Viet Nam","Severely endangered"
"Konni","Ghana","Vulnerable"
"Tocho","Sudan","Severely endangered"
"Mixtec of the Puebla-Oaxaca border","Mexico","Definitely endangered"
"Nupri","Nepal","Definitely endangered"
"Ayoreo","Bolivia (Plurinational State of)","Definitely endangered"
"Moyon","India","Definitely endangered"
"Utsat","China","Definitely endangered"
"Nayi","Ethiopia","Vulnerable"
"Mussau-Emira","Papua New Guinea","Definitely endangered"
"Narim","Sudan","Definitely endangered"
"Garífuna (Guatemala)","Guatemala","Vulnerable"
"Nachiring","Nepal","Severely endangered"
"Eastern Popoloc","Mexico","Vulnerable"
"Nding","Sudan","Critically endangered"
"Anung (Myanmar)","Myanmar","Severely endangered"
"Camsá","Colombia","Definitely endangered"
"Crow","United States of America","Definitely endangered"
"Sak (Myanmar)","Myanmar","Vulnerable"
"Shwai","Sudan","Critically endangered"
"Wano","Indonesia","Definitely endangered"
"Northwestern Ojibwe","Canada","Vulnerable"
"Bakpinka","Nigeria","Critically endangered"
"Morokodo","Sudan","Severely endangered"
"Eloxochitlán Mazatec","Mexico","Vulnerable"
"Menik","Senegal","Definitely endangered"
"Teribe (Panama)","Panama","Definitely endangered"
"Tima","Sudan","Severely endangered"
"Mursi","Ethiopia","Vulnerable"
"Pendau","Indonesia","Vulnerable"
"Ayautla Mazatec","Mexico","Vulnerable"
"Yucatec","Belize","Definitely endangered"
"Sayultec","Mexico","Definitely endangered"
"Eastern Tlapanec","Mexico","Vulnerable"
"Juhur (Caucasus)","Azerbaijan, Russian Federation","Definitely endangered"
"Awjila","Libyan Arab Jamahiriya","Severely endangered"
"Baleasang","Indonesia","Definitely endangered"
"Benga","Gabon, Equatorial Guinea","Definitely endangered"
"Besoa","Indonesia","Vulnerable"
"Boni","Kenya","Definitely endangered"
"Bonjo","Congo","Severely endangered"
"Brokshat","India","Definitely endangered"
"Budukh","Azerbaijan","Severely endangered"
"Dahaalik","Eritrea","Critically endangered"
"East Greenlandic","Greenland (Kingdom of Denmark)","Definitely endangered"
"Eastern Khanty","Russian Federation","Definitely endangered"
"Fyem","Nigeria","Severely endangered"
"Geta?","India","Severely endangered"
"Gura","Nigeria","Severely endangered"
"Harsusi","Oman","Definitely endangered"
"Hozo","Ethiopia","Definitely endangered"
"Jemez","United States of America","Vulnerable"
"Kamara","Ghana","Definitely endangered"
"Kapingamarangi","Micronesia (Federated States of)","Severely endangered"
"Koitabu","Papua New Guinea","Vulnerable"
"Kuk","Cameroon","Definitely endangered"
"Lai","China","Definitely endangered"
"Limirong Tibetan","Nepal","Definitely endangered"
"Lishanid Noshan (Israel)","Israel","Severely endangered"
"Lude","Russian Federation","Severely endangered"
"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay","Severely endangered"
"Mohawk (Akwesasne, St. Regis)","United States of America","Definitely endangered"
"Nanay","China, Russian Federation","Severely endangered"
"Palu'e","Indonesia","Definitely endangered"
"Panare","Venezuela (Bolivarian Republic of)","Vulnerable"
"Pilagá","Argentina","Vulnerable"
"Pitjantjatjara","Australia","Vulnerable"
"Pukur","Guinea","Definitely endangered"
"Rotuman","Fiji","Vulnerable"
"Savi","Pakistan, Afghanistan","Definitely endangered"
"Sherdukpen","India","Vulnerable"
"Shira Yugur","China","Severely endangered"
"Takahanyilang","India","Critically endangered"
"U","China","Definitely endangered"
"Ulithian","Micronesia (Federated States of)","Severely endangered"
"Waima'a","Timor-Leste","Definitely endangered"
"Warlpiri","Australia","Vulnerable"
"Yukpa","Venezuela (Bolivarian Republic of)","Vulnerable"
"Western Montagnais","Canada","Vulnerable"
"Waiwai (Brazil)","Brazil","Vulnerable"
"Jersey French","United Kingdom of Great Britain and Northern Ireland","Severely endangered"
"Bahing","Nepal","Definitely endangered"
"Stoney","Canada","Vulnerable"
"Southwestern Tepehuan","Mexico","Vulnerable"
"Northern Mansi","Russian Federation","Severely endangered"
"Bisu","Myanmar, Thailand","Definitely endangered"
"Wari","Brazil","Definitely endangered"
"Pakan","China","Definitely endangered"
"Yami","China","Vulnerable"
"Ko","Sudan","Critically endangered"
"Yuracaré","Bolivia (Plurinational State of)","Definitely endangered"
"Aimol","India","Critically endangered"
"Kohi","Nepal","Vulnerable"
"Chatino of the western lowlands","Mexico","Definitely endangered"
"Bolo","Angola","Definitely endangered"
"Logol","Sudan","Severely endangered"
"Sila","Lao People's Democratic Republic, Viet Nam","Definitely endangered"
"Pisaflores Tepehua","Mexico","Vulnerable"
"Xerente","Brazil","Severely endangered"
"Bribri (Panama)","Panama","Severely endangered"
"Achuar","Ecuador, Peru","Definitely endangered"
"Bai","Sudan","Definitely endangered"
"Banka","Mali","Definitely endangered"
"Culina (Peru)","Peru","Definitely endangered"
"Gadang","Chad","Definitely endangered"
"Khinalug","Azerbaijan","Severely endangered"
"Laomian (China)","China","Definitely endangered"
"Laomian (Myanmar)","Myanmar","Definitely endangered"
"Lhokpu","Bhutan","Definitely endangered"
"Martuwangka","Australia","Vulnerable"
"Mayoruna (Peru)","Peru","Vulnerable"
"Pingelapese","Micronesia (Federated States of)","Severely endangered"
"Rapanui","Chile","Severely endangered"
"Remo","India","Severely endangered"
"Roshorvi","Tajikistan","Severely endangered"
"Sanglechi","Tajikistan, Afghanistan","Severely endangered"
"Semelai","Malaysia","Severely endangered"
"Urak Lawoi (Malaysia)","Malaysia","Definitely endangered"
"Urak Lawoi (Thailand)","Thailand","Definitely endangered"
"Zirenkel","Chad","Definitely endangered"
"Vumbu","Gabon","Definitely endangered"
"Mopán (Guatemala)","Guatemala","Severely endangered"
"Cuiba","Colombia, Venezuela (Bolivarian Republic of)","Severely endangered"
"Raji","Nepal","Severely endangered"
"Highland Chontal","Mexico","Severely endangered"
"Yasa","Cameroon, Equatorial Guinea","Definitely endangered"
"Bumbita Arapesh","Papua New Guinea","Vulnerable"
"Mang (China)","China","Definitely endangered"
"Mang (Viet Nam)","Viet Nam","Definitely endangered"
"Tlachichilco Tepehua","Mexico","Definitely endangered"
"Blackfoot (Canada)","Canada","Definitely endangered"
"Jaya","Chad","Severely endangered"
"Karipuna do Amapá","Brazil","Vulnerable"
"Kulfa","Chad","Definitely endangered"
"Krahô","Brazil","Vulnerable"
"Kristang","Malaysia","Severely endangered"
"Yine","Peru","Definitely endangered"
"North Alaskan Inupiaq (Kotzebue Sound)","United States of America","Severely endangered"
"North Alaskan Inupiaq (North Slope)","United States of America","Severely endangered"
"Seward Peninsula Inupiaq (King Island)","United States of America","Critically endangered"
"Seward Peninsula Inupiaq (Little Diomede Island)","United States of America","Critically endangered"
"Seward Peninsula Inupiaq (Norton Sound)","United States of America","Critically endangered"
"Katukína-Kanamarí","Brazil","Vulnerable"
"Tiwi","Australia","Vulnerable"
"Zaozou","China","Vulnerable"
"Ngäbere (Costa Rica)","Costa Rica","Definitely endangered"
"Aiton","India","Severely endangered"
"Anindilyakwa","Australia","Vulnerable"
"Apurinã","Brazil","Definitely endangered"
"Arrernte","Australia","Vulnerable"
"Ashkun","Afghanistan","Definitely endangered"
"Ata","Philippines","Critically endangered"
"Athpahariya","Nepal","Definitely endangered"
"Ava-Guaraní","Argentina","Definitely endangered"
"Bayso","Ethiopia","Definitely endangered"
"Birhor","India","Critically endangered"
"Boano","Indonesia","Vulnerable"
"Bori","China, India","Definitely endangered"
"Chepya","Lao People's Democratic Republic","Definitely endangered"
"Chilisso","Pakistan","Severely endangered"
"Culina (Brazil)","Brazil","Vulnerable"
"Damana","Colombia","Definitely endangered"
"Duguza","Nigeria","Definitely endangered"
"Galibi Marworno","Brazil","Vulnerable"
"Gats'ama - Ganjule - Harro","Ethiopia","Definitely endangered"
"Gebe","Indonesia","Vulnerable"
"Ghadames","Libyan Arab Jamahiriya","Vulnerable"
"Griko (Calabria)","Italy","Severely endangered"
"Huilliche","Chile","Critically endangered"
"Ik","Uganda","Severely endangered"
"Jangshung","India","Definitely endangered"
"Jero","Nepal","Vulnerable"
"Kari'ña (French Guyana)","French Guiana (France)","Definitely endangered"
"Khamnigan Mongol","China, Mongolia, Russian Federation","Definitely endangered"
"Kona","Nigeria","Severely endangered"
"Koreguaje","Colombia","Definitely endangered"
"Koryak","Russian Federation","Severely endangered"
"Kota","India","Critically endangered"
"Logorik","Sudan","Critically endangered"
"Lule Saami","Norway, Sweden","Severely endangered"
"Luro","India","Critically endangered"
"Mambai","Chad","Severely endangered"
"Milang","India","Definitely endangered"
"Mocoví","Argentina","Definitely endangered"
"Momuna","Indonesia","Vulnerable"
"Mpi","Thailand","Definitely endangered"
"Muda","China","Vulnerable"
"Munji","Afghanistan","Severely endangered"
"Nguon","Viet Nam","Vulnerable"
"Nheengatu / Yeral (Venezuela)","Venezuela (Bolivarian Republic of)","Severely endangered"
"Nihali","India","Critically endangered"
"Nyishangba","Nepal","Definitely endangered"
"Ottawa (Walpole Island)","Canada, United States of America","Severely endangered"
"Prasun","Afghanistan","Definitely endangered"
"Rukai","China","Vulnerable"
"Sáliba","Colombia, Venezuela (Bolivarian Republic of)","Severely endangered"
"Sangkong","China","Vulnerable"
"Sarwa","Chad","Definitely endangered"
"Shoshoni (Idaho)","United States of America","Severely endangered"
"Shoshoni (Nevada)","United States of America","Severely endangered"
"Shoshoni (Wyoming)","United States of America","Severely endangered"
"Tai Phake","India","Severely endangered"
"Tamazight (Arzew)","Algeria","Critically endangered"
"Tanglang","China","Vulnerable"
"Tchitchege","Gabon","Definitely endangered"
"Tinan","China, India","Definitely endangered"
"Tsafiki","Ecuador","Definitely endangered"
"Ukhwejo","Central African Republic","Severely endangered"
"Urarina","Peru","Vulnerable"
"Ushojo","Pakistan","Definitely endangered"
"Waigali","Afghanistan","Definitely endangered"
"Waotededo","Ecuador","Vulnerable"
"Wotapuri-Katarqalai","Afghanistan","Definitely endangered"
"Wutun","China","Definitely endangered"
"Candoshi","Peru","Definitely endangered"
"Hupda (Brazil)","Brazil","Vulnerable"
"Mixtec of the central Ravine","Mexico","Definitely endangered"
"Kendeje","Chad","Definitely endangered"
"Hunzib","Russian Federation","Definitely endangered"
"Tchumbuli","Benin","Critically endangered"
"Cashibo-Cacataibo","Peru","Definitely endangered"
"Grass Koiari","Papua New Guinea","Vulnerable"
"Isirawa","Indonesia","Vulnerable"
"Lanoh","Malaysia","Critically endangered"
"Lemolang","Indonesia","Vulnerable"
"Nila (Seram Island)","Indonesia","Definitely endangered"
"Shixing","China","Definitely endangered"
"Chuj (Mexico)","Mexico","Critically endangered"
"Darma","India, Nepal","Definitely endangered"
"Kung","Cameroon","Severely endangered"
"Lokono (Guyana)","Guyana, Venezuela (Bolivarian Republic of)","Critically endangered"
"Byangsi","India, Nepal","Definitely endangered"
"Pasing","Lao People's Democratic Republic","Definitely endangered"
"Yamphu","Nepal","Definitely endangered"
"Andio","Indonesia","Vulnerable"
"Cheyenne (Montana)","United States of America","Definitely endangered"
"Kumzari","Oman","Severely endangered"
"Quechua of Yauyos","Peru","Critically endangered"
"Bainouk-Samik","Senegal","Severely endangered"
"Côông","Viet Nam","Definitely endangered"
"Dogrib","Canada","Vulnerable"
"Upland Yuman","United States of America","Vulnerable"
"Eastern Cuicatec","Mexico","Vulnerable"
"Tamazight (Ait Rouadi)","Morocco","Extinct"
"Woleaian","Micronesia (Federated States of)","Severely endangered"
"Huehuetla Tepehua","Mexico","Definitely endangered"
"Kadiwéu","Brazil","Definitely endangered"
"Southern Tiwa (Isleta Pueblo)","United States of America","Definitely endangered"
"Southern Tiwa (Sandia Pueblo)","United States of America","Definitely endangered"
"Tewa (Arizona)","United States of America","Definitely endangered"
"Tewa (New Mexico)","United States of America","Severely endangered"
"ǁGana","Botswana","Vulnerable"
"Akwáwa","Brazil","Vulnerable"
"Northern Cuicatec","Mexico","Vulnerable"
"Chiquihuitlán Mazatec","Mexico","Definitely endangered"
"Apinajé","Brazil","Vulnerable"
"Bashkarik","Pakistan","Severely endangered"
"Chintang","Nepal","Severely endangered"
"Forest Nenets","Russian Federation","Severely endangered"
"Hupda (Colombia)","Colombia","Definitely endangered"
"Jah Hut","Malaysia","Severely endangered"
"Jeri","Côte d'Ivoire","Severely endangered"
"Jonkor Bourmataguil","Chad","Severely endangered"
"K'emant","Ethiopia","Severely endangered"
"Kanashi","India","Definitely endangered"
"Karajá","Brazil","Vulnerable"
"Karelian (Tikhvin)","Russian Federation","Severely endangered"
"Kendem","Cameroon","Severely endangered"
"Khamba","China, India","Definitely endangered"
"Lishpa","India","Definitely endangered"
"Mayoruna (Brazil)","Brazil","Vulnerable"
"Mescalero-Chiricahua Apache (New Mexico)","United States of America","Definitely endangered"
"Numao Bunu","China","Definitely endangered"
"Orang Seletar","Malaysia","Severely endangered"
"Palenque Creole","Colombia","Definitely endangered"
"Pong","Lao People's Democratic Republic","Definitely endangered"
"Pyuma","China","Vulnerable"
"Saaroa","China","Critically endangered"
"Saluan","Indonesia","Vulnerable"
"Semaq Beri","Malaysia","Critically endangered"
"Talodi","Sudan","Critically endangered"
"Wayana (Suriname)","Suriname","Vulnerable"
"Wik Mungkan","Australia","Vulnerable"
"Natsilingmiutut","Canada","Vulnerable"
"Movima","Bolivia (Plurinational State of)","Severely endangered"
"Ngombe","Central African Republic","Definitely endangered"
"Cinta Larga","Brazil","Vulnerable"
"Dupaninan Agta","Philippines","Vulnerable"
"Tese","Sudan","Critically endangered"
"Bororo","Brazil","Definitely endangered"
"Puluwat","Micronesia (Federated States of)","Severely endangered"
"Kanela Rankokamekra","Brazil","Vulnerable"
"Saba","Chad","Definitely endangered"
"Kurripako (Brazil)","Brazil","Vulnerable"
"Triw","Lao People's Democratic Republic","Definitely endangered"
"Guernsey French","United Kingdom of Great Britain and Northern Ireland","Severely endangered"
"Paafang","Micronesia (Federated States of)","Severely endangered"
"Chɨlɨng","Nepal","Definitely endangered"
"Zapotec of the Valleys north","Mexico","Severely endangered"
"Cypriot Arabic","Cyprus","Severely endangered"
"Palikur (Brazil)","Brazil","Vulnerable"
"Sanenyo","India","Critically endangered"
"Tecóatl Mazatec","Mexico","Vulnerable"
"Xinka","Guatemala","Critically endangered"
"Ozomatlán Totonac","Mexico","Critically endangered"
"Kāgate","Nepal","Definitely endangered"
"Maxakali","Brazil","Vulnerable"
"Murik","Papua New Guinea","Vulnerable"
"Pengo","India","Critically endangered"
"Marúbo","Brazil","Vulnerable"
"Aivilingmiutut","Canada","Vulnerable"
"Besme","Chad","Severely endangered"
"Oirata","Indonesia","Definitely endangered"
"Lohorung","Nepal","Severely endangered"
"Harakmbut","Peru","Definitely endangered"
"Buyang","China","Severely endangered"
"Dakka","Indonesia","Vulnerable"
"Mah Meri","Malaysia","Severely endangered"
"Manjui","Argentina, Bolivia (Plurinational State of), Paraguay","Definitely endangered"
"Te'un (Seram Island)","Indonesia","Definitely endangered"
"Tsou","China","Vulnerable"
"Ujir","Indonesia","Definitely endangered"
"White Gelao (China)","China","Severely endangered"
"Dakkang","Lao People's Democratic Republic","Definitely endangered"
"Northern Algonquin","Canada","Vulnerable"
"Akawaio (Brazil)","Brazil","Vulnerable"
"Huehuetlán Mazatec","Mexico","Vulnerable"
"Trio (Brazil)","Brazil","Vulnerable"
"Savo","Solomon Islands","Definitely endangered"
"Tektitek","Guatemala","Definitely endangered"
"Fwâi","New Caledonia (France)","Vulnerable"
"Waimirí-Atroarí","Brazil","Vulnerable"
"Guayabero","Colombia","Definitely endangered"
"Fagauvea (Northern)","New Caledonia (France)","Vulnerable"
"Fagauvea (Southern)","New Caledonia (France)","Vulnerable"
"Fania","Chad","Severely endangered"
"Ubi","Chad","Severely endangered"
"Warnang","Sudan","Severely endangered"
"Itzá","Guatemala","Critically endangered"
"Mixtec of the southwest of Puebla","Mexico","Definitely endangered"
"Lowland Chontal","Mexico","Critically endangered"
"Koireng","India","Critically endangered"
"Chipaya","Bolivia (Plurinational State of)","Definitely endangered"
"Mokilese","Micronesia (Federated States of)","Critically endangered"
"Western Náhuatl","Mexico","Severely endangered"
"Acatepec Mazatec","Mexico","Vulnerable"
"Mixtec of Villa de Tututepec","Mexico","Definitely endangered"
"Toda","India","Critically endangered"
"Adabe","Timor-Leste","Vulnerable"
"Alutor","Russian Federation","Severely endangered"
"Arapaho (Wyoming)","United States of America","Severely endangered"
"Beeke","Democratic Republic of the Congo","Severely endangered"
"Blackfoot (United States of America)","United States of America","Definitely endangered"
"Bohtan Neo-Aramaic","Georgia, Russian Federation","Severely endangered"
"Bola","China","Definitely endangered"
"Bong'om","Kenya","Definitely endangered"
"Bora","Colombia, Peru","Vulnerable"
"Central Siberian Yupik (St. Lawrence Island)","United States of America","Definitely endangered"
"Chali","Bhutan","Definitely endangered"
"Cherokee (North Carolina)","United States of America","Severely endangered"
"Cocama-Cocamilla (Peru)","Peru","Severely endangered"
"Dair","Sudan","Severely endangered"
"Dakpa","Bhutan, India","Definitely endangered"
"Dampelas","Indonesia","Definitely endangered"
"Danaw","Myanmar","Critically endangered"
"Ega","Côte d'Ivoire","Severely endangered"
"El Hugeirat","Sudan","Severely endangered"
"Faghani","Solomon Islands","Vulnerable"
"Fongoro","Chad","Severely endangered"
"Gambiri","Afghanistan","Severely endangered"
"Gongduk","Bhutan","Vulnerable"
"Gorap","Indonesia","Definitely endangered"
"Guugu Yimidhirr","Australia","Vulnerable"
"Gyem","Nigeria","Critically endangered"
"Habu","Timor-Leste","Vulnerable"
"Hawaiian","United States of America","Critically endangered"
"Hértevin","Turkey","Critically endangered"
"Hu","China","Definitely endangered"
"Hualapai","United States of America","Vulnerable"
"Hung","Lao People's Democratic Republic, Viet Nam","Definitely endangered"
"Inkhokvari","Russian Federation","Definitely endangered"
"Ishkashimi","Tajikistan","Severely endangered"
"Iyive","Cameroon","Severely endangered"
"Jiongnai Bunu","China","Definitely endangered"
"Kaande","Gabon","Severely endangered"
"Kaco'","Cambodia","Definitely endangered"
"Kadu","Myanmar","Severely endangered"
"Kairui-Midiki","Timor-Leste","Vulnerable"
"Kari","Democratic Republic of the Congo","Severely endangered"
"Kayabi","Brazil","Vulnerable"
"Khowa","India","Definitely endangered"
"Kodeoha","Indonesia","Vulnerable"
"Kujarge","Chad","Definitely endangered"
"Kukatja","Australia","Vulnerable"
"Kuot","Papua New Guinea","Vulnerable"
"Lokono (Suriname)","French Guiana (France), Suriname","Severely endangered"
