"Name in English","Countries","Degree of endangerment"
"Irula","India","Vulnerable"
"Kharia","India","Vulnerable"
"Khorasani Turk","Iran (Islamic Republic of)","Vulnerable"
"Korku","India","Vulnerable"
"Moksha","Russian Federation","Definitely endangered"
"Western Armenian (Middle East)","Iraq, Lebanon, Syrian Arab Republic","Definitely endangered"
"Western Cham","Cambodia","Vulnerable"
"Tshangla","Bhutan, China, India","Vulnerable"
"Thado","India","Vulnerable"
"Gagauz (Bessarabia)","Republic of Moldova, Ukraine","Definitely endangered"
"Kului","India","Definitely endangered"
"Adi","China, India","Vulnerable"
"Lhota","India","Vulnerable"
"Nyishi","India","Vulnerable"
"Ngäbere (Panama)","Panama","Vulnerable"
"Kodagu","India","Definitely endangered"
"Corsican","France, Italy","Definitely endangered"
"Dzongkha","Bhutan","Vulnerable"
"Kalmyk","Russian Federation","Definitely endangered"
"Lak","Russian Federation","Vulnerable"
"Asturian-Leonese","Spain, Portugal","Definitely endangered"
"Latgalian","Latvia, Russian Federation","Vulnerable"
"Provençal","France","Severely endangered"
"Rabha","India","Vulnerable"
"Tamzabit","Algeria","Vulnerable"
"Sherpa","China, India, Nepal","Vulnerable"
"Tangkhul","India","Vulnerable"
"Q'aanjob'al","Guatemala","Vulnerable"
"Badaga","India","Definitely endangered"
"Angami","India","Vulnerable"
"Laz","Georgia, Turkey","Definitely endangered"
"Tabasaran","Russian Federation","Vulnerable"
"Chambeali","India","Definitely endangered"
"Abkhaz","Georgia, Russian Federation, Turkey","Vulnerable"
"Phom","India","Vulnerable"
"Kolami","India","Definitely endangered"
"Navajo","United States of America","Vulnerable"
"Sassarese","Italy","Definitely endangered"
"Tamahaq (Algeria)","Algeria","Vulnerable"
"Konda","India","Definitely endangered"
"Sierra Totonac","Mexico","Severely endangered"
"Jaunsari","India","Definitely endangered"
"Dimasa","India","Vulnerable"
"Ladakhi","China, India","Vulnerable"
"Salar","China","Vulnerable"
"Simi","India","Vulnerable"
"Phurhepecha","Mexico","Vulnerable"
"Crimean Tatar (Crimea)","Ukraine","Severely endangered"
"Dagur (Nonni)","China","Definitely endangered"
"Francoprovençal","France, Italy, Switzerland","Definitely endangered"
"Gallurese","Italy","Definitely endangered"
"Mapuche (Argentina)","Argentina","Severely endangered"
"Mehri","Oman, Yemen","Definitely endangered"
"Miskito (Nicaragua)","Nicaragua","Vulnerable"
"Ordos","China","Definitely endangered"
"Quechua of Northern Bolivia","Bolivia (Plurinational State of)","Vulnerable"
"Suba","Kenya, United Republic of Tanzania","Vulnerable"
"Garífuna (Honduras)","Honduras","Vulnerable"
"Embera (Colombia)","Colombia","Vulnerable"
"Kabui","India","Vulnerable"
"Shughni","Tajikistan, Afghanistan","Vulnerable"
"Permyak","Russian Federation","Definitely endangered"
"Poqomchi'","Guatemala","Vulnerable"
"Yimchungru","India","Vulnerable"
"Nogay (Caucasus)","Russian Federation","Definitely endangered"
"Heiban","Sudan","Vulnerable"
"Quichua (Cañar and Azuay)","Ecuador","Severely endangered"
"Mezquital Otomí","Mexico","Definitely endangered"
"Eastern Mazahua","Mexico","Definitely endangered"
"Burushaski","Pakistan","Vulnerable"
"Central Otomí","Mexico","Definitely endangered"
"Chokri","India","Vulnerable"
"Sangtam","India","Vulnerable"
"Ixil (Guatemala)","Guatemala","Vulnerable"
"Achi'","Guatemala","Vulnerable"
"Yem","Ethiopia","Vulnerable"
"Mao","India","Vulnerable"
"Arbëresh","Italy","Definitely endangered"
"Lari","Iran (Islamic Republic of)","Definitely endangered"
"Páez","Colombia","Definitely endangered"
"Quechua of Santiago del Estero","Argentina","Definitely endangered"
"Svan","Georgia","Definitely endangered"
"Tai Daeng","Lao People's Democratic Republic, Viet Nam","Vulnerable"
"Taznatit","Algeria","Severely endangered"
"Razihi","Yemen","Definitely endangered"
"Wakhi","China, Pakistan, Tajikistan, Afghanistan","Definitely endangered"
"Bishnupriya Manipuri Creole","Bangladesh, India","Vulnerable"
"Acheron","Sudan","Severely endangered"
"Maori","New Zealand","Vulnerable"
"Tai Neua","Lao People's Democratic Republic","Vulnerable"
"Bhadravahi","India, Pakistan","Definitely endangered"
"Kinnauri","India","Definitely endangered"
"Gallo-Sicilian","Italy","Definitely endangered"
"Kurux (Bangladesh)","Bangladesh","Vulnerable"
"Tz'utujil","Guatemala","Definitely endangered"
"Chamorro","Guam (U.S.A.)","Vulnerable"
"Ashaninka (Peru)","Peru","Vulnerable"
"Chang","India","Vulnerable"
"Kuna (Panama)","Panama","Vulnerable"
"Churahi","India","Definitely endangered"
"Nruanghmei","India","Vulnerable"
"Rengma","India","Vulnerable"
"Faroese","Faroe Islands","Vulnerable"
"Northern Tujia","China","Severely endangered"
"Torwali","Pakistan","Definitely endangered"
"Chuj (Guatemala)","Guatemala","Vulnerable"
"Kachari","India","Definitely endangered"
"Scottish Gaelic","United Kingdom of Great Britain and Northern Ireland","Definitely endangered"
"Sierra de Puebla Náhuatl","Mexico","Definitely endangered"
"Limonese Creole","Costa Rica","Definitely endangered"
"Kashubian","Poland","Severely endangered"
"Khakas","Russian Federation","Definitely endangered"
"Parji","India","Critically endangered"
"Arvanitika","Greece","Severely endangered"
"Buryat (Cis-Baikal)","Russian Federation","Severely endangered"
"Buryat (Manchuria)","China, Mongolia","Definitely endangered"
"Cuona Menba","Bhutan, China, India","Vulnerable"
"Eastern Cham","Viet Nam","Definitely endangered"
"Hmar","India","Vulnerable"
"Huzhu Monguor","China","Severely endangered"
"Paite","India","Vulnerable"
"Quichua (Imbabura)","Ecuador","Definitely endangered"
"Soqotri","Yemen","Severely endangered"
"Southern Altay","Russian Federation","Definitely endangered"
"Transylvanian Saxon","Romania","Severely endangered"
"Turoyo","Syrian Arab Republic, Turkey","Severely endangered"
"Võro-Seto","Estonia, Russian Federation","Definitely endangered"
"West Greenlandic","Greenland (Kingdom of Denmark)","Vulnerable"
"Western Armenian (Turkey)","Turkey","Definitely endangered"
"Zaramo","United Republic of Tanzania","Definitely endangered"
"Zenatiya","Algeria","Critically endangered"
"Papantla Totonac","Mexico","Definitely endangered"
"Wancho","India","Vulnerable"
"Bhumji","India","Vulnerable"
"Cosung (China)","China","Definitely endangered"
"Cosung (Viet Nam)","Viet Nam","Definitely endangered"
"Baheng (China)","China","Vulnerable"
"Lumun","Sudan","Definitely endangered"
"Quichua (Loja)","Ecuador","Severely endangered"
"Chamling","Nepal","Definitely endangered"
"Irish","Ireland, United Kingdom of Great Britain and Northern Ireland","Definitely endangered"
"Reshe","Nigeria","Vulnerable"
"Sierra Otomí","Mexico","Vulnerable"
"Phuthi","Lesotho","Definitely endangered"
"Rarotongan","Cook Islands","Vulnerable"
"Khalaj","Iran (Islamic Republic of)","Vulnerable"
"Dungan","Kazakhstan, Kyrgyzstan","Definitely endangered"
"Kheza","India","Vulnerable"
"Jola-Kassa","Senegal","Vulnerable"
"Satār","Nepal","Vulnerable"
"Guaraní Boliviano","Argentina, Bolivia (Plurinational State of)","Vulnerable"
"Gutob","India","Vulnerable"
"Kheng","Bhutan","Vulnerable"
"Laro","Sudan","Definitely endangered"
"Minyong","India","Vulnerable"
"Mru","Myanmar","Severely endangered"
"Patani Malay","Thailand","Vulnerable"
"Quechua of Cajatambo, Pasco and northern Junín","Peru","Severely endangered"
"Quichua (Napo)","Ecuador","Definitely endangered"
"Tangsa","India","Vulnerable"
"Tetserret","Niger","Severely endangered"
"Awajun","Peru","Vulnerable"
"Khiamngan","India","Vulnerable"
"Ngile","Sudan","Severely endangered"
"Phunoi","Lao People's Democratic Republic","Vulnerable"
"Lower Mixe","Mexico","Vulnerable"
"Maram","India","Vulnerable"
"Western Mari","Russian Federation","Severely endangered"
"Chepang","Nepal","Vulnerable"
"Chontal Tabasco","Mexico","Severely endangered"
"Muji","China","Definitely endangered"
"Akatek (Guatemala)","Guatemala","Vulnerable"
"Huichol","Mexico","Vulnerable"
"Romansh","Switzerland","Definitely endangered"
"Apatani","India","Vulnerable"
"Galo","India","Vulnerable"
"Korwa","India","Vulnerable"
"Shuar chicham","Ecuador","Definitely endangered"
"Ticuna","Brazil, Colombia, Peru","Definitely endangered"
"Wanka Quechua","Peru","Severely endangered"
"Sikuani","Colombia, Venezuela (Bolivarian Republic of)","Vulnerable"
"Jakaltek (Guatemala)","Guatemala","Definitely endangered"
"Liangmai","India","Vulnerable"
"Zeme","India","Vulnerable"
"Highland Mazatec","Mexico","Vulnerable"
"Thangmi","Nepal","Definitely endangered"
"Nocte","India","Vulnerable"
"Mayo","Mexico","Critically endangered"
"Lauje","Indonesia","Vulnerable"
"Danuwar","Nepal","Severely endangered"
"Sirmaudi","India","Critically endangered"
"Abaza","Russian Federation, Turkey","Definitely endangered"
"Koch","India","Definitely endangered"
"Amis","China","Vulnerable"
"Biak","Indonesia","Vulnerable"
"Bumthang","Bhutan","Vulnerable"
"Burgenland Croatian","Austria, Hungary, Slovakia","Definitely endangered"
"Dzhidi","Iran (Islamic Republic of)","Definitely endangered"
"Judeo-Berber (Israel)","Israel","Severely endangered"
"Kham","Nepal","Definitely endangered"
"Ladin","Italy","Definitely endangered"
"Lepcha","Bhutan, India, Nepal","Definitely endangered"
"Maonan","China","Vulnerable"
"Mok (Myanmar, Thailand)","Myanmar, Thailand","Definitely endangered"
"Moro","Sudan","Definitely endangered"
"Mulam","China","Vulnerable"
"North Saami","Finland, Norway, Russian Federation, Sweden","Definitely endangered"
"Quechua of Cajamarca","Peru","Severely endangered"
"Quichua (Pastaza)","Ecuador","Definitely endangered"
"Rushani","Tajikistan, Afghanistan","Definitely endangered"
"Tagin","India","Vulnerable"
"Tialo","Indonesia","Vulnerable"
"Tidikelt","Algeria","Critically endangered"
"Toba","Argentina","Definitely endangered"
"Tundra Nenets","Russian Federation","Definitely endangered"
"Vojvodina Rusyn","Croatia, Serbia","Definitely endangered"
"Wuse","China","Vulnerable"
"Agul","Russian Federation","Definitely endangered"
"Rutul","Azerbaijan, Russian Federation","Definitely endangered"
"Bateri","Pakistan","Definitely endangered"
"Mzieme","India","Vulnerable"
"Ghale","Nepal","Vulnerable"
"Sierra Popoluca","Mexico","Vulnerable"
"Kurux (Nepal)","Nepal","Vulnerable"
"Deori","India","Definitely endangered"
"Soyaltepec Mazatec","Mexico","Vulnerable"
"Western Mazahua","Mexico","Definitely endangered"
"Sibe","China","Severely endangered"
"Isthmus Náhuatl","Mexico","Vulnerable"
"Sunwar","Nepal","Vulnerable"
"Mancagne","Senegal","Vulnerable"
"Gadaba","India","Critically endangered"
"Banat Bulgarian","Romania, Serbia","Definitely endangered"
"Csángó Hungarian","Romania","Severely endangered"
"Koda","India","Vulnerable"
"Minhe Monguor","China","Definitely endangered"
"Miskito (Honduras)","Honduras","Vulnerable"
"Olonetsian","Finland, Russian Federation","Definitely endangered"
"Saek","Lao People's Democratic Republic, Thailand","Definitely endangered"
"Sioux","United States of America","Vulnerable"
"Tamazight (Beni Iznassen)","Morocco","Definitely endangered"
"Tsakhur","Azerbaijan, Russian Federation","Definitely endangered"
"Warao","Guyana, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Majhi","Nepal","Severely endangered"
"Jone","China","Definitely endangered"
"Andi","Russian Federation","Definitely endangered"
"Guambiano","Colombia","Definitely endangered"
"Anal","India","Vulnerable"
"Hawrami","Iran (Islamic Republic of), Iraq","Definitely endangered"
"Juang","India","Definitely endangered"
"Tiwa","India","Definitely endangered"
"Embera (Panama)","Panama","Vulnerable"
"Ediamat","Guinea-Bissau","Vulnerable"
"Mara","India","Definitely endangered"
"Maring","India","Vulnerable"
"Polci cluster","Nigeria","Definitely endangered"
"Sarikoli","China","Definitely endangered"
"Krongo","Sudan","Definitely endangered"
"Ashtiani","Iran (Islamic Republic of)","Definitely endangered"
"Khunsari","Iran (Islamic Republic of)","Definitely endangered"
"Semnani","Iran (Islamic Republic of)","Definitely endangered"
"Plains Cree","Canada","Vulnerable"
"Higher Reservoir Mazatec","Mexico","Vulnerable"
"Chilchotla Mazatec","Mexico","Vulnerable"
"Zapotec of the Valleys, middle northwest","Mexico","Definitely endangered"
"Aluo","China","Definitely endangered"
"Bangni","India","Vulnerable"
"Bru","Thailand","Definitely endangered"
"Cho-ca-nga-ca-kha","Bhutan","Definitely endangered"
"Crimean Tatar (Dobruja)","Bulgaria, Romania","Severely endangered"
"Dhimal","Nepal","Severely endangered"
"Griko (Salento)","Italy","Severely endangered"
"Kaiowá Guarani","Brazil","Vulnerable"
"Karelian (Karelia)","Finland, Russian Federation","Definitely endangered"
"Khoirao","India","Vulnerable"
"Manchad","India","Vulnerable"
"Mariupolitan Greek","Ukraine","Severely endangered"
"Padam","India","Vulnerable"
"Pemon (Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","Vulnerable"
"Tacenwit","Algeria","Vulnerable"
"Tangwang","China","Definitely endangered"
"Western Neo-Aramaic","Syrian Arab Republic","Definitely endangered"
"Yaghnobi","Tajikistan","Definitely endangered"
"Yaw","Myanmar","Definitely endangered"
"Yeyi","Botswana","Definitely endangered"
"Boro",,"Definitely endangered"
"Sorbian","Germany","Definitely endangered"
"Biete","India","Definitely endangered"
"Hrangkhol","India","Vulnerable"
"Terena","Brazil","Severely endangered"
"Kati","Pakistan, Afghanistan","Definitely endangered"
"Kulung","Nepal","Vulnerable"
"Kaingang","Brazil","Definitely endangered"
"Lowland Mazatec","Mexico","Vulnerable"
"Vafsi","Iran (Islamic Republic of)","Definitely endangered"
"Bassari","Senegal","Vulnerable"
"Bayot","Senegal","Vulnerable"
"Pochuri","India","Vulnerable"
"Tamahaq (Libya)","Libyan Arab Jamahiriya","Definitely endangered"
"Swampy Cree","Canada","Vulnerable"
"Koraga","India","Critically endangered"
"Oyda","Ethiopia","Vulnerable"
"Pangvali","India","Critically endangered"
